Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;1195.8;1289;775.9;935.1;551.8;746.6;514.2;533.3;398.1;125.8;34.1;44.2;;;;;;;46.8;79.5;44.5;;67.3;;23.7;89;98.9;227.9;92.4;0;0;0;49;11.7;0;12.8;0;0;13.3;;;2.7;8.2;36.9
Albania;50.1;100.3;109.6;43.4;30;56.8;37.2;35.6;158.1;92.6;100.4;83.8;15.5;37.8;74.6;41.7;70.2;24.2;7.5;8.5;28.1;11.4;6.4;3.5;23.2;4.9;0;4.3;3.3;3.4;0;1.4;5.5;2.1;;;14.8;2.4;6.6;3.8;1;0;0;0.4
Algeria;38.2;50.3;33.4;19.2;42;23.6;1.1;2.9;1.9;1.3;0.9;0.6;0.9;1.6;0.1;;0.3;1;0.3;0.1;;4.4;1.8;0.7;0.2;0.5;0.7;0;0.8;0;0;0;2.8;1.8;0;0;0;0.1;0.4;;;;0;0.3
American Samoa;0;0;28.6;0;0;0;0;0;22.9;0;0;0;2814.1;39.9;19.5;0;0;0;90.4;0;0;35.1;;;0;17.7;;0;0;;;0;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;;;0;0;0;51.4;39;79.8;13.6;304.8;83.1;0;26.6;13.1;0;0;0;173.1
Angola;6654.4;3731.9;3591.2;3133.4;2545.4;1620.4;685.7;954;1320.6;1928.5;1240.3;838.2;;113.7;;;;;;;34.6;44.2;0;147.9;90.1;0;66.3;44.3;53.2;50.3;109;64.2;50;0;0;0;0;;0;0;0;;;
Anguilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;0;0;0;0;0;0;0
Antigua and Barbuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13947.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;971.8;762.2;220.7;208.1;545.4;153.4;63.4;55;116;91.2;61.4;70.1;64.3;35.2;43.2;34.4;21.6;17.8;18.6;16.1;13.8;11.5;7;16.7;25.1;52.5;40.6;64.6;76.3;42.7;19.5;76.3;29.4;26.1;13;22.4;38.4;19.5;20.2;21.7;3.6;3.8;4.3;13.3
Armenia;;;;;;;;;;;132;90.5;34.7;28.4;97.8;3.6;0.6;1.5;5.9;4.1;3.2;0.3;1;1;2.3;2;0.7;0.3;1;3.7;1.4;0.3;2.7;10.3;29.1;9.2;5.1;26.4;55;13.4;4.2;2.1;0.3;17
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.5;9.4;0;;0;0;9.3
Australia;8.4;11.4;18;21.5;16.7;37.1;37.4;17.8;9.2;36.4;50.3;19.4;42.1;225.1;314.7;226.5;239.8;553.5;323.8;232.8;302.9;492.5;283.9;250.7;432.8;555.7;;256.7;675.5;1356.3;1548.4;1692.2;1043.9;530.2;501.9;939.9;823.6;489.8;499.8;471.7;134.3;21.2;18.3;92.3
Austria;24.6;34.9;57.2;23.9;23.3;39.8;23.4;34.3;14.9;24.9;30.5;23.5;17.6;11.3;18.3;11.4;11.8;14.7;14.2;12.9;14.6;31.5;18.6;20.9;15.9;15.8;8.7;16;22;21.9;49.5;36.8;67.7;;43.3;67;145.3;160.4;248.5;251.4;73.4;14.4;18.1;305.6
Azerbaijan;;;;;;;;;;;8.7;20.5;12;55.6;13.7;4.4;1.9;6.6;5.4;2.7;1.3;1.5;0.4;0.1;0.2;0.2;6.9;1.4;0.6;0.6;1.6;2.9;1.9;0.4;0;0;0;0;0;0;0;0;0;0.3
Bahamas;64.5;33.8;33.2;32.7;4;0;0;0;0;0;0;0;10.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0
Bahrain;295.3;203.5;56.9;82.4;36.1;16.3;2.2;43.2;4.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0.8;0;0;2.5;0;0;0;0.7;0.7;0.7;3.4;0;0;0;0
Bangladesh;141.3;188.3;562.8;251.8;105.6;238.4;311.6;328;184.7;759;43.7;128.4;88.3;35.5;16.5;10.5;10.4;5.3;6.3;3.9;1.9;0.1;4.2;2.4;1;0.9;0.3;0.6;0.2;0.1;0.1;0.3;0.1;0;0.1;0.1;0;0;0;0.1;0;0;0;0
