Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;4.00;3.00;5.00;;16.00;15.00;11.00;25.00;35.00;33.00;25.00;23.00;;18.00;12.00;;31.00;28.00;27.00;27.00;24.00;33.00;36.00;41.00;50.00;58.00;58.00;63.00;64.00;63.00;66.00;82.00;87.00;90.00;95.00;98.00;81.06;81.00;87.00;86.66;85.29;81.24;83.96;86.25
Albania;;94.00;;95.00;95.00;96.00;96.00;96.00;96.00;94.00;94.00;78.00;94.00;96.00;100.00;97.00;98.00;99.00;96.00;97.00;97.00;97.00;98.00;97.00;97.30;98.00;97.00;98.00;99.00;97.80;99.00;99.00;98.70;99.00;98.50;98.80;98.50;99.00;98.80;98.60;98.46;;;97.10
Algeria;;33.00;;;;;;66.00;;81.00;58.00;82.00;78.00;73.00;75.00;83.00;77.00;79.00;80.00;83.00;;89.00;86.00;87.00;86.00;88.00;95.00;95.00;93.00;;95.00;95.00;95.00;95.00;95.00;95.00;95.00;96.00;95.00;;;;;
Andorra;;;;;;;;;;;;;;;;;90.00;90.00;89.00;90.00;98.00;96.00;97.00;99.00;99.10;98.00;93.00;96.00;100.00;99.19;99.29;99.86;98.68;96.32;97.06;96.92;97.85;99.71;99.53;99.07;99.07;98.51;97.58;98.00
Angola;;;;6.00;;8.00;10.00;10.00;12.00;18.00;24.00;26.00;21.00;30.00;27.00;42.00;28.00;41.00;45.00;22.00;31.00;41.00;47.00;46.00;59.00;47.00;44.00;83.00;81.00;73.00;91.00;86.30;91.00;92.54;80.00;80.00;80.00;77.00;83.70;78.50;72.23;65.56;62.66;75.36
Anguilla;;78.00;89.00;97.00;85.00;100.00;88.00;92.00;99.00;99.00;99.00;99.00;99.00;99.00;94.00;97.00;99.00;99.00;100.00;96.00;92.39;;;99.00;;;;;;;;;;;;;;89.00;91.00;77.00;86.00;79.00;88.10;90.06
Antigua and Barbuda;54.00;79.00;79.00;100.00;94.00;100.00;96.00;97.00;98.00;99.00;99.00;94.00;99.00;99.00;99.00;100.00;99.00;99.00;100.00;99.00;95.00;97.00;98.00;100.00;97.00;98.90;100.00;99.00;102.00;98.70;98.40;98.50;97.90;98.70;103.00;100.19;91.92;95.00;95.00;99.00;96.00;92.45;99.00;96.70
Argentina;44.00;49.00;58.00;61.00;62.00;66.00;67.00;75.00;80.00;80.00;87.00;80.00;81.00;81.00;82.00;85.00;83.00;88.00;84.00;86.00;83.00;83.00;92.50;96.00;98.00;98.10;91.40;91.30;93.00;94.20;94.20;91.00;91.30;93.90;94.10;94.00;91.85;88.00;86.00;83.00;74.30;81.18;83.83;66.19
Armenia;;;;;;;;;;;;;85.00;85.00;86.00;98.00;86.00;88.00;82.00;91.00;93.30;93.70;93.90;93.80;90.80;90.00;87.00;88.00;89.00;93.00;94.00;95.00;94.95;94.55;93.30;94.36;94.25;93.88;92.48;92.00;91.07;93.16;92.90;93.97
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97.00;96.00;96.00;;93.02;94.07;95.98
